V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
11,17,8,10,21,27,24,28,26,16,25,10,7,13,17,5,5,5,10,7
9,6,3,8,7,4,4,3,3,18,14,9,8,8,5,7,11,12,4,6
7,7,6,5,3,0,0,1,5,11,19,7,5,2,3,4,2,3,4,1
9,13,7,11,10,9,11,7,11,20,27,20,15,14,12,7,3,8,7,2
0,0,0,0,0,0,2,0,0,9,10,1,1,2,6,6,8,5,0,0
12,10,4,2,10,8,1,8,11,9,10,4,2,2,13,8,0,2,4,3
6,6,3,1,13,17,7,13,7,2,4,2,12,9,4,2,4,3,4,7
5,6,3,6,2,4,9,11,7,9,9,3,8,14,5,4,2,5,8,10
9,6,21,28,10,14,50,121,123,102,148,88,86,37,12,14,3,2,6,4
14,102,166,105,46,23,38,47,84,88,110,99,75,47,41,40,48,61,50,30
2,5,12,10,12,17,14,14,13,15,18,9,5,9,4,5,0,0,0,0
1,0,0,1,7,10,1,0,3,13,17,12,4,3,1,2,7,10,7,5
5,3,15,14,17,39,73,94,118,178,176,168,129,95,85,37,12,25,36,51
0,0,2,4,2,0,0,3,9,16,22,23,11,11,16,10,8,7,6,3
21,12,11,10,12,8,17,13,12,9,3,10,14,11,15,9,7,10,8,4
4,3,4,16,19,15,42,96,72,50,25,13,4,13,10,6,1,2,7,8
49,81,60,23,25,21,41,80,115,93,104,148,135,52,34,11,8,9,28,23
3,2,1,0,0,0,2,5,12,7,7,2,3,3,7,4,3,2,1,6
6,5,7,9,14,15,11,6,21,33,16,15,17,10,8,2,5,7,13,24
2,3,3,2,4,3,2,5,0,2,2,2,5,2,1,0,1,4,3,0
13,19,11,7,15,20,41,53,54,92,76,31,13,10,9,8,16,15,10,4
1,13,13,3,2,2,5,20,38,37,29,14,17,6,10,11,10,7,8,5
37,28,14,8,22,71,115,95,109,276,305,225,213,160,119,66,34,26,21,18
3,3,2,4,7,2,3,2,7,18,22,4,0,0,0,6,1,0,0,1
0,0,0,1,3,3,4,3,0,8,19,6,7,1,5,6,9,6,5,5
2,11,8,16,29,62,95,94,68,107,83,56,27,26,18,18,30,19,15,4
36,50,78,92,53,34,17,32,36,40,36,20,19,18,22,32,40,88,69,47
23,24,27,24,29,39,86,194,351,432,368,273,103,70,61,46,44,61,108,203
18,13,15,20,24,22,23,57,116,204,279,319,216,143,269,262,123,37,15,24
