V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
6,6,7,10,7,1,9,17,16,13,20,26,18,25,31,38,62,59,55,71
30,17,25,12,21,48,57,27,45,50,78,89,29,35,22,55,37,85,66,47
336,135,461,562,540,651,610,751,355,342,251,120,57,32,26,32,26,34,18,18
106,41,12,6,11,44,105,99,40,68,137,96,67,41,15,3,6,5,8,19
37,30,16,29,31,16,23,52,56,40,42,64,71,82,62,35,17,11,6,18
182,173,178,189,195,186,220,130,114,123,87,31,6,10,15,16,7,5,8,13
90,84,63,138,171,107,78,109,117,126,111,60,38,21,13,21,24,18,2,0
10,12,20,13,14,26,33,61,107,129,101,95,66,24,10,8,6,9,18,16
4,3,14,20,18,9,13,13,21,45,64,61,82,59,29,36,55,54,61,52
34,42,44,39,69,72,54,36,53,18,3,7,14,10,11,12,7,8,8,6
6,4,1,2,1,3,3,2,1,2,3,1,1,3,2,0,7,7,0,3
7,10,23,28,22,102,200,98,231,217,172,222,92,69,28,0,0,16,16,7
2,0,1,4,11,18,22,25,19,14,13,8,4,7,0,2,2,0,3,0
0,0,0,12,3,0,3,3,5,8,5,4,0,0,1,6,14,11,3,8
106,103,83,74,41,33,39,80,107,114,88,131,190,193,156,122,55,31,15,8
25,25,37,25,14,8,26,33,53,60,104,145,174,157,111,126,112,78,122,110
129,184,131,151,143,143,137,79,67,67,36,28,21,24,36,30,19,16,33,22
10,9,18,23,15,19,47,81,67,56,99,167,419,71,52,30,18,14,23,11
32,31,23,22,37,41,45,36,20,27,36,48,60,76,143,117,127,120,97,83
5,11,9,7,2,10,49,78,112,120,162,163,95,28,3,0,0,0,0,0
473,635,599,462,321,246,120,114,115,131,132,97,165,99,53,24,14,26,34,26
7,14,10,6,8,16,20,74,139,139,104,104,47,8,3,8,2,0,0,2
6,9,5,10,12,2,16,40,54,116,54,32,19,3,2,7,14,26,17,10
9,4,13,7,13,20,51,123,233,168,77,98,119,40,9,6,18,16,7,4
17,28,26,32,38,42,42,53,81,81,91,83,53,33,14,17,11,22,27,35
10,13,9,2,3,9,25,37,43,35,38,28,11,9,9,7,4,3,4,5
8,10,13,11,6,7,15,38,75,47,42,67,67,38,23,13,21,28,21,13
7,12,6,2,3,1,1,13,9,8,6,6,5,4,4,4,3,16,12,10
1,5,12,15,8,7,21,29,28,61,92,112,143,83,19,17,12,20,29,32
18,20,22,30,74,82,97,111,101,83,51,31,11,15,19,23,41,32,1,24
